impd,site,obs1,obs2,obs3,obs4,obs5,obs6,obs7,obs8,obs9,prop_samp,mean_depth,temp1,temp2,temp3,temp4,temp5,temp6,temp7,temp8,temp9
crsl,1,0,0,0,0,0,1,0,0,0,0.568,6.6,29.44444444,30,26.66666667,29.44444444,26.11111111,26.11111111,28.88888889,28.33333333,30
crsl,2,3,1,2,0,0,0,0,1,0,0.568,6.6,29.44444444,30,26.66666667,29.44444444,26.11111111,26.11111111,28.88888889,28.33333333,30
crsl,3,1,0,0,0,0,0,1,1,1,0.568,6.6,29.44444444,30,26.66666667,29.44444444,26.11111111,26.11111111,28.88888889,28.33333333,30
crsl,4,2,1,2,4,2,1,3,2,2,0.568,6.6,29.44444444,30,26.66666667,29.44444444,26.11111111,26.11111111,28.88888889,28.33333333,30
crsl,5,0,2,0,1,0,0,1,0,1,0.568,6.6,29.44444444,30,26.66666667,29.44444444,26.11111111,26.11111111,28.88888889,28.33333333,30
crsl,6,1,1,2,2,1,0,0,3,0,0.568,6.6,29.44444444,30,26.66666667,29.44444444,26.11111111,26.11111111,28.88888889,28.33333333,30
crsl,7,1,2,0,0,0,0,5,0,0,0.568,6.6,29.44444444,30,26.66666667,29.44444444,26.11111111,26.11111111,28.88888889,28.33333333,30
crsl,8,4,6,3,6,2,4,0,1,1,0.568,6.6,29.44444444,30,26.66666667,29.44444444,26.11111111,26.11111111,28.88888889,28.33333333,30
crsl,9,4,1,0,0,4,4,3,2,2,0.568,6.6,29.44444444,30,26.66666667,29.44444444,26.11111111,26.11111111,28.88888889,28.33333333,30
crsl,10,3,3,0,0,0,0,0,0,1,0.568,6.6,29.44444444,30,26.66666667,29.44444444,26.11111111,26.11111111,28.88888889,28.33333333,30
crsl,11,3,1,2,1,2,1,5,0,1,0.568,6.6,29.44444444,30,26.66666667,29.44444444,26.11111111,26.11111111,28.88888889,28.33333333,30
gesl,1,7,1,2,0,1,3,1,1,2,0.799,5.4,26.66666667,24.44444444,26.66666667,27.22222222,27.22222222,28.33333333,27.77777778,27.22222222,27.77777778
gesl,2,2,2,0,0,1,1,1,1,1,0.799,5.4,26.66666667,24.44444444,26.66666667,27.22222222,27.22222222,28.33333333,27.77777778,27.22222222,27.77777778
gesl,3,1,1,2,0,0,0,0,1,0,0.799,5.4,26.66666667,24.44444444,26.66666667,27.22222222,27.22222222,28.33333333,27.77777778,27.22222222,27.77777778
gesl,4,1,2,1,1,0,1,0,0,3,0.799,5.4,26.66666667,24.44444444,26.66666667,27.22222222,27.22222222,28.33333333,27.77777778,27.22222222,27.77777778
gesl,5,3,0,0,0,2,4,0,1,3,0.799,5.4,26.66666667,24.44444444,26.66666667,27.22222222,27.22222222,28.33333333,27.77777778,27.22222222,27.77777778
gesl,6,2,2,2,0,1,3,1,1,0,0.799,5.4,26.66666667,24.44444444,26.66666667,27.22222222,27.22222222,28.33333333,27.77777778,27.22222222,27.77777778
gesl,7,3,4,2,2,4,3,2,2,3,0.799,5.4,26.66666667,24.44444444,26.66666667,27.22222222,27.22222222,28.33333333,27.77777778,27.22222222,27.77777778
gesl,8,0,0,0,0,0,0,1,0,0,0.799,5.4,26.66666667,24.44444444,26.66666667,27.22222222,27.22222222,28.33333333,27.77777778,27.22222222,27.77777778
gesl,9,1,0,0,0,1,0,0,0,0,0.799,5.4,26.66666667,24.44444444,26.66666667,27.22222222,27.22222222,28.33333333,27.77777778,27.22222222,27.77777778
gesl,10,0,0,0,0,0,0,1,1,1,0.799,5.4,26.66666667,24.44444444,26.66666667,27.22222222,27.22222222,28.33333333,27.77777778,27.22222222,27.77777778
lvsl,1,2,0,0,2,1,2,0,2,0,0.444,5.8,27.77777778,29.44444444,26.11111111,26.66666667,29.44444444,31.11111111,28.33333333,28.33333333,30
lvsl,2,0,2,1,0,0,2,1,1,1,0.444,5.8,27.77777778,29.44444444,26.11111111,26.66666667,29.44444444,31.11111111,28.33333333,28.33333333,30
lvsl,3,2,2,0,1,1,4,0,1,0,0.444,5.8,27.77777778,29.44444444,26.11111111,26.66666667,29.44444444,31.11111111,28.33333333,28.33333333,30
lvsl,4,0,2,0,3,0,1,0,0,3,0.444,5.8,27.77777778,29.44444444,26.11111111,26.66666667,29.44444444,31.11111111,28.33333333,28.33333333,30
lvsl,5,3,2,1,1,0,1,0,0,1,0.444,5.8,27.77777778,29.44444444,26.11111111,26.66666667,29.44444444,31.11111111,28.33333333,28.33333333,30
lvsl,6,2,0,1,2,1,0,1,1,1,0.444,5.8,27.77777778,29.44444444,26.11111111,26.66666667,29.44444444,31.11111111,28.33333333,28.33333333,30
lvsl,7,2,1,2,1,1,2,1,0,1,0.444,5.8,27.77777778,29.44444444,26.11111111,26.66666667,29.44444444,31.11111111,28.33333333,28.33333333,30
lvsl,8,2,0,0,1,0,1,0,0,1,0.444,5.8,27.77777778,29.44444444,26.11111111,26.66666667,29.44444444,31.11111111,28.33333333,28.33333333,30
lvsl,9,3,3,2,1,0,0,0,0,0,0.444,5.8,27.77777778,29.44444444,26.11111111,26.66666667,29.44444444,31.11111111,28.33333333,28.33333333,30
lvsl,10,1,0,0,0,0,1,0,0,1,0.444,5.8,27.77777778,29.44444444,26.11111111,26.66666667,29.44444444,31.11111111,28.33333333,28.33333333,30
mcla,1,5,0,1,0,1,4,0,4,0,0.277,3.6,30,26.66666667,25,26.11111111,27.22222222,30.55555556,27.77777778,28.88888889,27.77777778
mcla,2,1,3,0,0,3,1,0,0,2,0.277,3.6,30,26.66666667,25,26.11111111,27.22222222,30.55555556,27.77777778,28.88888889,27.77777778
mcla,3,2,1,0,0,0,1,0,2,1,0.277,3.6,30,26.66666667,25,26.11111111,27.22222222,30.55555556,27.77777778,28.88888889,27.77777778
mcla,4,1,0,0,0,0,0,0,0,0,0.277,3.6,30,26.66666667,25,26.11111111,27.22222222,30.55555556,27.77777778,28.88888889,27.77777778
mcla,5,0,0,0,0,0,0,0,0,0,0.277,3.6,30,26.66666667,25,26.11111111,27.22222222,30.55555556,27.77777778,28.88888889,27.77777778
mcla,6,1,0,0,0,0,0,0,0,0,0.277,3.6,30,26.66666667,25,26.11111111,27.22222222,30.55555556,27.77777778,28.88888889,27.77777778
mcla,7,1,1,0,0,0,0,1,0,1,0.277,3.6,30,26.66666667,25,26.11111111,27.22222222,30.55555556,27.77777778,28.88888889,27.77777778
mcla,8,0,0,0,0,0,0,0,0,0,0.277,3.6,30,26.66666667,25,26.11111111,27.22222222,30.55555556,27.77777778,28.88888889,27.77777778
mcla,9,0,0,0,0,2,0,0,1,0,0.277,3.6,30,26.66666667,25,26.11111111,27.22222222,30.55555556,27.77777778,28.88888889,27.77777778
mcla,10,0,0,0,0,0,0,0,0,0,0.277,3.6,30,26.66666667,25,26.11111111,27.22222222,30.55555556,27.77777778,28.88888889,27.77777778
mgsl,1,1,1,0,0,0,0,0,0,1,0.591,2.2,27.22222222,30,27.77777778,30,26.66666667,26.11111111,30,28.88888889,29.44444444
mgsl,2,1,0,0,1,0,0,0,0,0,0.591,2.2,27.22222222,30,27.77777778,30,26.66666667,26.11111111,30,28.88888889,29.44444444
mgsl,3,1,1,0,0,0,0,0,1,1,0.591,2.2,27.22222222,30,27.77777778,30,26.66666667,26.11111111,30,28.88888889,29.44444444
mgsl,4,0,0,0,0,2,0,0,1,0,0.591,2.2,27.22222222,30,27.77777778,30,26.66666667,26.11111111,30,28.88888889,29.44444444
mgsl,5,1,1,0,0,0,0,0,1,0,0.591,2.2,27.22222222,30,27.77777778,30,26.66666667,26.11111111,30,28.88888889,29.44444444
mgsl,6,1,0,2,1,0,0,1,2,1,0.591,2.2,27.22222222,30,27.77777778,30,26.66666667,26.11111111,30,28.88888889,29.44444444
mgsl,7,1,0,0,0,0,0,1,0,0,0.591,2.2,27.22222222,30,27.77777778,30,26.66666667,26.11111111,30,28.88888889,29.44444444
mgsl,8,0,0,0,0,0,0,0,0,0,0.591,2.2,27.22222222,30,27.77777778,30,26.66666667,26.11111111,30,28.88888889,29.44444444
nosl,1,0,0,0,0,0,0,0,0,0,0.675,2,27.77777778,31.11111111,27.22222222,30.55555556,26.11111111,26.11111111,29.44444444,28.88888889,29.44444444
nosl,2,0,1,0,0,1,0,0,0,1,0.675,2,27.77777778,31.11111111,27.22222222,30.55555556,26.11111111,26.11111111,29.44444444,28.88888889,29.44444444
nosl,3,0,0,1,0,0,0,0,1,0,0.675,2,27.77777778,31.11111111,27.22222222,30.55555556,26.11111111,26.11111111,29.44444444,28.88888889,29.44444444
nosl,4,0,0,0,0,0,0,0,0,0,0.675,2,27.77777778,31.11111111,27.22222222,30.55555556,26.11111111,26.11111111,29.44444444,28.88888889,29.44444444
nosl,5,0,0,0,0,0,1,0,0,1,0.675,2,27.77777778,31.11111111,27.22222222,30.55555556,26.11111111,26.11111111,29.44444444,28.88888889,29.44444444
nosl,6,2,2,1,0,0,0,0,2,0,0.675,2,27.77777778,31.11111111,27.22222222,30.55555556,26.11111111,26.11111111,29.44444444,28.88888889,29.44444444
nosl,7,10,6,3,8,2,4,2,0,1,0.675,2,27.77777778,31.11111111,27.22222222,30.55555556,26.11111111,26.11111111,29.44444444,28.88888889,29.44444444
nosl,8,0,0,0,0,0,0,0,0,2,0.675,2,27.77777778,31.11111111,27.22222222,30.55555556,26.11111111,26.11111111,29.44444444,28.88888889,29.44444444
sgca,1,12,0,3,3,0,0,1,0,1,0.451,3.4,25.55555556,29.44444444,26.11111111,27.77777778,25.55555556,26.66666667,27.77777778,27.77777778,27.77777778
sgca,2,0,0,0,0,0,0,0,0,0,0.451,3.4,25.55555556,29.44444444,26.11111111,27.77777778,25.55555556,26.66666667,27.77777778,27.77777778,27.77777778
sgca,3,0,1,1,1,0,1,0,1,1,0.451,3.4,25.55555556,29.44444444,26.11111111,27.77777778,25.55555556,26.66666667,27.77777778,27.77777778,27.77777778
sgca,4,2,0,2,0,1,0,0,0,0,0.451,3.4,25.55555556,29.44444444,26.11111111,27.77777778,25.55555556,26.66666667,27.77777778,27.77777778,27.77777778
sgca,5,2,0,3,1,0,0,0,0,0,0.451,3.4,25.55555556,29.44444444,26.11111111,27.77777778,25.55555556,26.66666667,27.77777778,27.77777778,27.77777778
sgca,6,1,1,0,0,0,0,1,0,0,0.451,3.4,25.55555556,29.44444444,26.11111111,27.77777778,25.55555556,26.66666667,27.77777778,27.77777778,27.77777778
sgca,7,0,1,0,0,0,0,0,0,0,0.451,3.4,25.55555556,29.44444444,26.11111111,27.77777778,25.55555556,26.66666667,27.77777778,27.77777778,27.77777778
sgca,8,1,0,0,1,2,0,0,0,0,0.451,3.4,25.55555556,29.44444444,26.11111111,27.77777778,25.55555556,26.66666667,27.77777778,27.77777778,27.77777778
sgca,9,1,0,2,1,0,0,0,0,1,0.451,3.4,25.55555556,29.44444444,26.11111111,27.77777778,25.55555556,26.66666667,27.77777778,27.77777778,27.77777778
sgca,10,0,0,1,1,1,0,0,0,0,0.451,3.4,25.55555556,29.44444444,26.11111111,27.77777778,25.55555556,26.66666667,27.77777778,27.77777778,27.77777778
sgca,11,0,0,0,0,0,0,0,0,0,0.451,3.4,25.55555556,29.44444444,26.11111111,27.77777778,25.55555556,26.66666667,27.77777778,27.77777778,27.77777778
sgca,12,7,2,1,1,3,1,0,0,0,0.451,3.4,25.55555556,29.44444444,26.11111111,27.77777778,25.55555556,26.66666667,27.77777778,27.77777778,27.77777778
sgca,13,3,0,0,0,0,0,0,0,2,0.451,3.4,25.55555556,29.44444444,26.11111111,27.77777778,25.55555556,26.66666667,27.77777778,27.77777778,27.77777778
sgca,14,0,0,0,0,0,0,0,0,0,0.451,3.4,25.55555556,29.44444444,26.11111111,27.77777778,25.55555556,26.66666667,27.77777778,27.77777778,27.77777778
sgca,15,6,5,5,10,4,3,0,2,3,0.451,3.4,25.55555556,29.44444444,26.11111111,27.77777778,25.55555556,26.66666667,27.77777778,27.77777778,27.77777778
wlsl,1,4,6,1,0,1,1,4,7,3,0.775,4.4,30,30.55555556,25,28.33333333,25.55555556,29.44444444,27.22222222,28.33333333,28.88888889
wlsl,2,2,6,3,4,0,3,1,2,2,0.775,4.4,30,30.55555556,25,28.33333333,25.55555556,29.44444444,27.22222222,28.33333333,28.88888889
wlsl,3,5,5,1,1,0,2,2,1,1,0.775,4.4,30,30.55555556,25,28.33333333,25.55555556,29.44444444,27.22222222,28.33333333,28.88888889
wlsl,4,1,2,4,4,1,2,0,6,4,0.775,4.4,30,30.55555556,25,28.33333333,25.55555556,29.44444444,27.22222222,28.33333333,28.88888889
wlsl,5,3,2,1,0,0,1,0,2,0,0.775,4.4,30,30.55555556,25,28.33333333,25.55555556,29.44444444,27.22222222,28.33333333,28.88888889
wlsl,6,6,2,3,1,0,2,0,1,0,0.775,4.4,30,30.55555556,25,28.33333333,25.55555556,29.44444444,27.22222222,28.33333333,28.88888889
wlsl,7,0,2,1,0,0,0,1,1,0,0.775,4.4,30,30.55555556,25,28.33333333,25.55555556,29.44444444,27.22222222,28.33333333,28.88888889
wlsl,8,5,11,6,5,6,3,8,2,2,0.775,4.4,30,30.55555556,25,28.33333333,25.55555556,29.44444444,27.22222222,28.33333333,28.88888889
wlsl,9,5,3,0,0,0,1,3,0,3,0.775,4.4,30,30.55555556,25,28.33333333,25.55555556,29.44444444,27.22222222,28.33333333,28.88888889
wlsl,10,3,5,3,2,4,5,1,1,7,0.775,4.4,30,30.55555556,25,28.33333333,25.55555556,29.44444444,27.22222222,28.33333333,28.88888889
wlsl,11,4,2,1,1,5,0,3,4,0,0.775,4.4,30,30.55555556,25,28.33333333,25.55555556,29.44444444,27.22222222,28.33333333,28.88888889
